A00;Cholera
F14;Psychische und Verhaltensstörungen durch Kokain
F15;Psychische und Verhaltensstörungen d. andere Stimulanzien;Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein
F16;Psychische und Verhaltensstörungen durch Halluzinogene
F17;Psychische und Verhaltensstörungen durch Tabak
F18;Psychische und Verhaltensst. durch flücht. Lösungsmittel;Psychische und Verhaltensstörungen durch flüchtige Lösungsmittel
F19;Psychische und Verhaltensst. d. multipl. Substanzgebr.;Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen
F20;Schizophrenie
F21;Schizotype Störung
F22;Anhaltende wahnhafte Störungen
F23;Akute vorübergehende psychotische Störungen
F24;Induzierte wahnhafte Störung
F25;Schizoaffektive Störungen
F28;Sonstige nichtorganische psychotische Störungen
F29;Nicht näher bezeichnete nichtorganische Psychose
F30;Manische Episode
F31;Bipolare affektive Störung
F32;Depressive Episode
F33;Rezidivierende depressive Störung
F34;Anhaltende affektive Störungen
F38;Andere affektive Störungen
F39;Nicht näher bezeichnete affektive Störung
F40;Phobische Störungen
F41;Andere Angststörungen
F42;Zwangsstörung
F43;Reaktionen auf schwere Belastungen und Anpassungsstörungen
F44;Dissoziative Störungen [Konversionsstörungen]
F45;Somatoforme Störungen
F48;Andere neurotische Störungen
F50;Essstörungen
F51;Nichtorganische Schlafstörungen
F52;Primäre sexuelle Funktionsstörungen;Sexuelle Funktionsstörungen, nicht verursacht durch eine organische Störung oder Krankheit
F53;Psychische oder Verhaltensstörungen im Wochenbett […];Psychische oder Verhaltensstörungen im Wochenbett, anderenorts nicht klassifiziert
F54;Psychologische Faktoren oder Verhaltensfaktoren […];Psychologische Faktoren oder Verhaltensfaktoren bei anderenorts klassifizierten Krankheiten
F55;Schädlicher Gebrauch v. nichtabhängigkeitserz. Substanzen;Schädlicher Gebrauch von nichtabhängigkeitserzeugenden Substanzen
F59;N.n.bez. Verhaltensauffälligkeiten bei körperl. Störungen;Nicht näher bezeichnete Verhaltensauffälligkeiten bei körperlichen Störungen und Faktoren
F60;Spezifische Persönlichkeitsstörungen
F61;Kombinierte und andere Persönlichkeitsstörungen
F62;Andauernde Persönlichkeitsänderungen, nicht cephaler Genese;Andauernde Persönlichkeitsänderungen, nicht Folge einer Schädigung oder Krankheit des Gehirns
F63;Abnorme Gewohnheiten und Störungen der Impulskontrolle
F64;Störungen der Geschlechtsidentität
F65;Störungen der Sexualpräferenz
F66;Psych./Verhaltensst. in Verb. mit sexueller Entw. & Orient.;Psychische und Verhaltensstörungen in Verbindung mit der sexuellen Entwicklung und Orientierung
F68;Andere Persönlichkeits- und Verhaltensstörungen
F69;Nicht näher bezeichnete Persönlichkeits- und Verhaltensstörung
F70;Leichte Intelligenzminderung
F71;Mittelgradige Intelligenzminderung
F72;Schwere Intelligenzminderung
F73;Schwerste Intelligenzminderung
F74;Dissoziierte Intelligenz
F78;Andere Intelligenzminderung
F79;Nicht näher bezeichnete Intelligenzminderung
F80;Umschriebene Entwicklungsst. des Sprechens und der Sprache;Umschriebene Entwicklungsstörungen des Sprechens und der Sprache
F81;Umschriebene Entwicklungsst. schulischer Fertigkeiten;Umschriebene Entwicklungsstörungen schulischer Fertigkeiten
F82;Umschriebene Entwicklungsst. der motorischen Funktionen;Umschriebene Entwicklungsstörung der motorischen Funktionen
F83;Kombinierte umschriebene Entwicklungsstörungen
F84;Tief greifende Entwicklungsstörungen
F88;Andere Entwicklungsstörungen
F89;Nicht näher bezeichnete Entwicklungsstörung
F90;Hyperkinetische Störungen
F91;Störungen des Sozialverhaltens
F92;Kombinierte Störung des Sozialverhaltens und der Emotionen
F93;Emotionale Störungen des Kindesalters
F94;Störungen sozialer Funktionen mit juvenilem Beginn;Störungen sozialer Funktionen mit Beginn in der Kindheit und Jugend
F95;Ticstörungen
F98;Andere Verhaltens- & emot. Störungen mit juvenilem Beginn;Andere Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend
F99;Psychische Störung ohne nähere Angabe
G00;Bakterielle Meningitis, anderenorts nicht klassifiziert
G01;Meningitis bei anderenorts klassifiz. bakt. Krankheiten;Meningitis bei anderenorts klassifizierten bakteriellen Krankheiten
G02;Meningit. bei […] anderenorts klassif. inf./paras. Krankh.;Meningitis bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
G03;Meningitis durch sonstige und n.n.bez. Ursachen; Meningitis durch sonstige und nicht näher bezeichnete Ursachen
G04;Enzephalitis, Myelitis und Enzephalomyelitis
G05;Sekundäre Enzephalitis, Myelitis und Enzephalomyelitis;Enzephalitis, Myelitis und Enzephalomyelitis bei anderenorts klassifizierten Krankheiten
G06;Intrakranielle und intraspinale Abszesse und Granulome
G07;Sekund. Intrakran. & intraspin. Abszesse und Granulome;Intrakranielle und intraspinale Abszesse und Granulome bei anderenorts klassifizierten Krankheiten 
G08;Intrakran. und intraspin. Phlebitis und Thrombophlebitis;Intrakranielle und intraspinale Phlebitis und Thrombophlebitis
G09;Folgen entzündlicher Krankheiten des ZNS;Folgen entzündlicher Krankheiten des Zentralnervensystems
G10;Chorea Huntington
G11;Hereditäre Ataxie
G12;Spinale Muskelatrophie und verwandte Syndrome
G13;Sekundäre Systematrophien, vorwiegend das ZNS betreffend;Systematrophien, vorwiegend das Zentralnervensystem betreffend, bei anderenorts klassifizierten Krankheiten
G14;Postpolio-Syndrom
G20;Primäres Parkinson-Syndrom
G21;Sekundäres Parkinson-Syndrom
G22;Parkinson-Syndrom bei anderenorts klass. Krankheiten […];Parkinson-Syndrom bei anderenorts klassifizierten Krankheiten (Syphillis)
G23;Sonstige degen. Krankheiten der Basalganglien;Sonstige degenerative Krankheiten der Basalganglien
G24;Dystonie
G25;Sonstige extrapyramidale Krankheiten und Bewegungsst.;Sonstige extrapyramidale Krankheiten und Bewegungsstörungen
G26;Sekund. extrapyramidale Krankheiten und Bewegungsst.;Extrapyramidale Krankheiten und Bewegungsstörungen bei anderenorts klassifizierten Krankheiten 
G30;Alzheimer-Krankheit F00.- 
G31;Sonstige degen. Krankheiten des Nervensystems […];Sonstige degenerative Krankheiten des Nervensystems, anderenorts nicht klassifiziert
G32;Sonstige degenerative Krankheiten des Nervensystems […];Sonstige degenerative Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten 
G35;Multiple Sklerose [Encephalomyelitis disseminata]
G36;Sonstige akute disseminierte Demyelinisation
G37;Sonstige demyelinisierende Krankheiten des ZNS;Sonstige demyelinisierende Krankheiten des Zentralnervensystems
G40;Epilepsie
G41;Status epilepticus
G43;Migräne
G44;Sonstige Kopfschmerzsyndrome
G45;Zerebrale TIA und verwandte Syndrome;Zerebrale transitorische Ischämie und verwandte Syndrome
G46;Zerebr. Gefäßsyndrome bei zerebrovask. Krankh. I60-I67;Zerebrale Gefäßsyndrome bei zerebrovaskulären Krankheiten I60-I67 
G47;Schlafstörungen
G50;Krankheiten des N. trigeminus [V. Hirnnerv]
G51;Krankheiten des N. facialis [VII. Hirnnerv]
G52;Krankheiten sonstiger Hirnnerven
G53;Krankheiten der Hirnnerven [sekundär];Krankheiten der Hirnnerven bei anderenorts klassifizierten Krankheiten
G54;Krankheiten von Nervenwurzeln und Nervenplexus
G55;Kompression von Nervenwurzeln und Nervenplexus [sekundär];Kompression von Nervenwurzeln und Nervenplexus bei anderenorts klassifizierten Krankheiten
G56;Mononeuropathien der oberen Extremität
G57;Mononeuropathien der unteren Extremität
G58;Sonstige Mononeuropathien
G59;Mononeuropathie bei anderenorts klassifizierten Krankheiten
G60;Hereditäre und idiopathische Neuropathie
G61;Polyneuritis
G62;Sonstige Polyneuropathien
G63;Polyneuropathie bei anderenorts klassifizierten Krankheiten
G64;Sonstige Krankheiten des peripheren Nervensystems
G70;Myasthenia gravis und sonstige neuromuskuläre Krankheiten
G71;Primäre Myopathien
G72;Sonstige Myopathien
G73;Krankh. der neuromuskulären Synapse & des Muskels [sek.];Krankheiten im Bereich der neuromuskulären Synapse und des Muskels bei anderenorts klassifizierten Krankheiten
G80;Infantile Zerebralparese
G81;Hemiparese und Hemiplegie
G82;Paraparese und Paraplegie, Tetraparese und Tetraplegie
G83;Sonstige Lähmungssyndrome
G90;Krankheiten des autonomen Nervensystems
G91;Hydrozephalus
G92;Toxische Enzephalopathie
G93;Sonstige Krankheiten des Gehirns
G94;Sonstige Krankheiten des Gehirns [sek.];Sonstige Krankheiten des Gehirns bei anderenorts klassifizierten Krankheiten
G95;Sonstige Krankheiten des Rückenmarkes
G96;Sonstige Krankheiten des Zentralnervensystems
G97;Krankheiten des Nervensystems nach med. Maßnahmen, […];Krankheiten des Nervensystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
G98;Sonstige Krankheiten des Nervensystems, […];Sonstige Krankheiten des Nervensystems, anderenorts nicht klassifiziert
G99;Sonstige Krankheiten des Nervensystems [sek.];Sonstige Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten
H00;Hordeolum und Chalazion
H01;Sonstige Entzündung des Augenlides
H02;Sonstige Affektionen des Augenlides
H03;Affektionen des Augenlides [sek.];Affektionen des Augenlides bei anderenorts klassifizierten Krankheiten
H04;Affektionen des Tränenapparates
H05;Affektionen der Orbita
H06;Affektionen des Tränenapparates und der Orbita [sek.];Affektionen des Tränenapparates und der Orbita bei anderenorts klassifizierten Krankheiten
H10;Konjunktivitis
H11;Sonstige Affektionen der Konjunktiva
H13;Affektionen der Konjunktiva [sek.];Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten
H15;Affektionen der Sklera
H16;Keratitis
H17;Hornhautnarben und -trübungen
H18;Sonstige Affektionen der Hornhaut
H19;Affektionen der Sklera und der Hornhaut [sek.];Affektionen der Sklera und der Hornhaut bei anderenorts klassifizierten Krankheiten
H20;Iridozyklitis
H21;Sonstige Affektionen der Iris und des Ziliarkörpers
H22;Affektionen der Iris und des Ziliarkörpers [sek.];Affektionen der Iris und des Ziliarkörpers bei anderenorts klassifizierten Krankheiten
H25;Cataracta senilis
H26;Sonstige Kataraktformen
H27;Sonstige Affektionen der Linse
H28;Katarakt und sonstige Affektionen der Linse [sek.];Katarakt und sonstige Affektionen der Linse bei anderenorts klassifizierten Krankheiten
H30;Chorioretinitis
H31;Sonstige Affektionen der Aderhaut
H32;Chorioretinale Affektionen [sek.];Chorioretinale Affektionen bei anderenorts klassifizierten Krankheiten
H33;Netzhautablösung und Netzhautriss
H34;Netzhautgefäßverschluss
H35;Sonstige Affektionen der Netzhaut
H36;Affektionen der Netzhaut [sek.];Affektionen der Netzhaut bei anderenorts klassifizierten Krankheiten
H40;Glaukom
H42;Glaukom bei anderenorts klassifizierten Krankheiten
H43;Affektionen des Glaskörpers
H44;Affektionen des Augapfels
H45;Affektionen des Glaskörpers und des Augapfels [sek.];Affektionen des Glaskörpers und des Augapfels bei anderenorts klassifizierten Krankheiten
H46;Neuritis nervi optici
H47;Sonst. Affektionen des N. opticus [II.] und der Sehbahn;Sonstige Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn
H48;Affektionen des N. opticus [II.] & der Sehbahn [sek.];Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn bei anderenorts klassifizierten Krankheiten
H49;Strabismus paralyticus
H50;Sonstiger Strabismus
H51;Sonstige Störungen der Blickbewegungen
H52;Akkommodationsstörungen und Refraktionsfehler
H53;Sehstörungen
H54;Blindheit und Sehbeeinträchtigung
H55;Nystagmus und sonstige abnorme Augenbewegungen
H57;Sonst. Affektionen des Auges und der Augenanhangsgebilde;Sonstige Affektionen des Auges und der Augenanhangsgebilde
H58;Sonst. Affekt. des Auges und der Augenanhangsgebilde [sek.];Sonstige Affektionen des Auges und der Augenanhangsgebilde bei anderenorts klassifizierten Krankheiten
H59;Affekt. des Auges und der Augenanhangsgebilde iatrogen […];Affektionen des Auges und der Augenanhangsgebilde nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
H60;Otitis externa
H61;Sonstige Krankheiten des äußeren Ohres
H62;Krankheiten des äußeren Ohres [sek.];Krankheiten des äußeren Ohres bei anderenorts klassifizierten Krankheiten
H65;Nichteitrige Otitis media
H66;Eitrige und nicht näher bezeichnete Otitis media
H67;Otitis media bei anderenorts klassifizierten Krankheiten
H68;Entzündung und Verschluss der Tuba auditiva
H69;Sonstige Krankheiten der Tuba auditiva
H70;Mastoiditis und verwandte Zustände
H71;Cholesteatom des Mittelohres
H72;Trommelfellperforation
H73;Sonstige Krankheiten des Trommelfells
H74;Sonst. Krankheiten des Mittelohres und des Mastoids;Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes
H75;Sonst. Krankheiten des Mittelohres und des Mastoids [sek.];Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes bei anderenorts klassifizierten Krankheiten
H80;Otosklerose
H81;Störungen der Vestibularfunktion
H82;Schwindelsyndrome [sek.];Schwindelsyndrome bei anderenorts klassifizierten Krankheiten
H83;Sonstige Krankheiten des Innenohres
H90;Hörverlust durch Schallleitungs- oder Schallempfindungsstö.;Hörverlust durch Schallleitungs- oder Schallempfindungsstörung
H91;Sonstiger Hörverlust
H92;Otalgie und Ohrenfluss
H93;Sonstige Krankheiten des Ohres, […];Sonstige Krankheiten des Ohres, anderenorts nicht klassifiziert
H94;Sonstige Krankheiten des Ohres [sek.];Sonstige Krankheiten des Ohres bei anderenorts klassifizierten Krankheiten
H95;Krankheiten des Ohres und des Mastoids iatrogen […];Krankheiten des Ohres und des Warzenfortsatzes nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
I00;Rheumatisches Fieber ohne Angabe einer Herzbeteiligung
I01;Rheumatisches Fieber mit Herzbeteiligung
I02;Rheumatische Chorea
I05;Rheumatische Mitralklappenkrankheiten
I06;Rheumatische Aortenklappenkrankheiten
I07;Rheumatische Trikuspidalklappenkrankheiten
I08;Krankheiten mehrerer Herzklappen
I09;Sonstige rheumatische Herzkrankheiten
I10;Essentielle (primäre) Hypertonie
I11;Hypertensive Herzkrankheit
I12;Hypertensive Nierenkrankheit
I13;Hypertensive Herz- und Nierenkrankheit
I15;Sekundäre Hypertonie
I20;Angina pectoris
I21;Akuter Myokardinfarkt
I22;Rezidivierender Myokardinfarkt
I23;Bestimmte akute Komplikationen nach akutem Myokardinfarkt
I24;Sonstige akute ischämische Herzkrankheit
I25;Chronische ischämische Herzkrankheit
I26;Lungenembolie
I27;Sonstige pulmonale Herzkrankheiten
I28;Sonstige Krankheiten der Lungengefäße
I30;Akute Perikarditis
I31;Sonstige Krankheiten des Perikards
I32;Perikarditis bei anderenorts klassifizierten Krankheiten
I33;Akute und subakute Endokarditis
I34;Nichtrheumatische Mitralklappenkrankheiten
I35;Nichtrheumatische Aortenklappenkrankheiten
I36;Nichtrheumatische Trikuspidalklappenkrankheiten
I37;Pulmonalklappenkrankheiten
I38;Endokarditis, Herzklappe nicht näher bezeichnet
I39;Endokarditis und Herzklappenkrankheiten [sek.];Endokarditis und Herzklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I40;Akute Myokarditis
I41;Myokarditis bei anderenorts klassifizierten Krankheiten
I42;Kardiomyopathie
I43;Kardiomyopathie bei anderenorts klassifizierten Krankheiten
I44;Atrioventrikulärer Block und Linksschenkelblock
I45;Sonstige kardiale Erregungsleitungsstörungen
I46;Herzstillstand
I47;Paroxysmale Tachykardie
I48;Vorhofflimmern und Vorhofflattern
I49;Sonstige kardiale Arrhythmien
I50;Herzinsuffizienz
I51;Komplik. einer Herzkrankh. & ung. beschriebene Herzkrankh.;Komplikationen einer Herzkrankheit und ungenau beschriebene Herzkrankheit
I52;Sonstige Herzkrankheiten [sek.];Sonstige Herzkrankheiten bei anderenorts klassifizierten Krankheiten
I60;Subarachnoidalblutung
I61;Intrazerebrale Blutung
I62;Sonstige nichttraumatische intrakranielle Blutung
I63;Hirninfarkt
I64;Schlaganfall, nicht als Blutung oder Infarkt bezeichnet
I65;Verschluss & Stenose präzerebr. Arterien ohne result. HI;Verschluss und Stenose präzerebraler Arterien ohne resultierenden Hirninfarkt
I66;Verschluss & Stenose zerebraler Arterien ohne result. HI;Verschluss und Stenose zerebraler Arterien ohne resultierenden Hirninfarkt
I67;Sonstige zerebrovaskuläre Krankheiten
I68;Zerebrovaskuläre Störungen [sek.];Zerebrovaskuläre Störungen bei anderenorts klassifizierten Krankheiten
I69;Folgen einer zerebrovaskulären Krankheit
I70;Atherosklerose
I71;Aortenaneurysma und -dissektion
I72;Sonstiges Aneurysma und sonstige Dissektion
I73;Sonstige periphere Gefäßkrankheiten
I74;Arterielle Embolie und Thrombose
I77;Sonstige Krankheiten der Arterien und Arteriolen
I78;Krankheiten der Kapillaren
I79;Krankheiten der Arterien, Arteriolen und Kapillaren [sek.];Krankheiten der Arterien, Arteriolen und Kapillaren bei anderenorts klassifizierten Krankheiten
I80;Thrombose, Phlebitis und Thrombophlebitis
I81;Pfortaderthrombose
I82;Sonstige venöse Embolie und Thrombose
I83;Varizen der unteren Extremitäten
I85;Ösophagusvarizen
I86;Varizen sonstiger Lokalisationen
I87;Sonstige Venenkrankheiten
I88;Unspezifische Lymphadenitis
I89;Sonst. nichtinf. Krankh. der Lymphgefäße und Lymphknoten;Sonstige nichtinfektiöse Krankheiten der Lymphgefäße und Lymphknoten
I95;Hypotonie
I97;Kreislaufkomplikationen iatrogen […];Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
I98;Sonstige Störungen des Kreislaufsystems [sek.];Sonstige Störungen des Kreislaufsystems bei anderenorts klassifizierten Krankheiten
I99;Sonstige und n.n.bez. Krankheiten des Kreislaufsystems;Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems
J00;Akute Rhinopharyngitis [Erkältungsschnupfen]
J01;Akute Sinusitis
J02;Akute Pharyngitis
J03;Akute Tonsillitis
J04;Akute Laryngitis und Tracheitis
J05;Akute obstruktive Laryngitis [Krupp] und Epiglottitis
J06;Akute Infekt. an mehreren oder n.n.bez. Lokalisat. der OAW;Akute Infektionen an mehreren oder nicht näher bezeichneten Lokalisationen der oberen Atemwege
J09;Grippe durch zoonot. oder pandem. nachgew. Influenzaviren;Grippe durch zoonotische oder pandemische nachgewiesene Influenzaviren
J10;Grippe durch saisonale nachgewiesene Influenzaviren
J11;Grippe, Viren nicht nachgewiesen
J12;Viruspneumonie, anderenorts nicht klassifiziert
J13;Pneumonie durch Streptococcus pneumoniae
J14;Pneumonie durch Haemophilus influenzae
J15;Pneumonie durch Bakterien, anderenorts nicht klassifiziert
J16;Pneumonie durch sonstige Infektionserreger […];Pneumonie durch sonstige Infektionserreger, anderenorts nicht klassifiziert
J17;Pneumonie bei anderenorts klassifizierten Krankheiten
J18;Pneumonie, Erreger nicht näher bezeichnet
J20;Akute Bronchitis
J21;Akute Bronchiolitis
J22;Akute Infektion der unteren Atemwege, n.n.bez.;Akute Infektion der unteren Atemwege, nicht näher bezeichnet
J30;Vasomotorische und allergische Rhinopathie
J31;Chronische Rhinitis, Rhinopharyngitis und Pharyngitis
J32;Chronische Sinusitis
J33;Nasenpolyp
J34;Sonstige Krankheiten der Nase und der Nasennebenhöhlen
J35;Chron. Krankheiten der Gaumenmandeln und der Rachenmandel;Chronische Krankheiten der Gaumenmandeln und der Rachenmandel
J36;Peritonsillarabszess
J37;Chronische Laryngitis und Laryngotracheitis
J38;Krankheiten der Stimmlippen und des Kehlkopfes […];Krankheiten der Stimmlippen und des Kehlkopfes, anderenorts nicht klassifiziert
J39;Sonstige Krankheiten der oberen Atemwege
J40;Bronchitis, nicht als akut oder chronisch bezeichnet
J41;Einfache und schleimig-eitrige chronische Bronchitis
J42;Nicht näher bezeichnete chronische Bronchitis
J43;Emphysem
J44;Sonstige chronische obstruktive Lungenkrankheit
J45;Asthma bronchiale
J46;Status asthmaticus
J47;Bronchiektasen
J60;Kohlenbergarbeiter-Pneumokoniose
J61;Pneumokoniose durch Asbest und sonstige anorg. Fasern;Pneumokoniose durch Asbest und sonstige anorganische Fasern
J62;Pneumokoniose durch Quarzstaub
J63;Pneumokoniose durch sonstige anorganische Stäube
J64;Nicht näher bezeichnete Pneumokoniose
J65;Pneumokoniose in Verbindung mit Tuberkulose
J66;Krankheit der Atemwege durch spezif. organischen Staub;Krankheit der Atemwege durch spezifischen organischen Staub
J67;Allergische Alveolitis durch organischen Staub
J68;Inspir. Krankh. der Atemorg.[chem. Subst. Gas/Rauch & Dampf];Krankheiten der Atmungsorgane durch Einatmen von chemischen Substanzen, Gasen, Rauch und Dämpfen
J69;Pneumonie durch feste und flüssige Substanzen
J70;Krankh. der Atmungsorg. durch sonstige exogene Substanzen;Krankheiten der Atmungsorgane durch sonstige exogene Substanzen
J80;Atemnotsyndrom des Erwachsenen [ARDS]
J81;Lungenödem
J82;Eosinophiles Lungeninfiltrat, […];Eosinophiles Lungeninfiltrat, anderenorts nicht klassifiziert
J84;Sonstige interstitielle Lungenkrankheiten
J85;Abszess der Lunge und des Mediastinums
J86;Pyothorax
J90;Pleuraerguss, anderenorts nicht klassifiziert
J91;Pleuraerguss bei anderenorts klassifizierten Krankheiten
J92;Pleuraplaques
J93;Pneumothorax
J94;Sonstige Krankheitszustände der Pleura
J95;Krankheiten der Atemwege iatrogen […];Krankheiten der Atemwege nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
J96;Respiratorische Insuffizienz, […];Respiratorische Insuffizienz, anderenorts nicht klassifiziert
J98;Sonstige Krankheiten der Atemwege
J99;Krankheiten der Atemwege [sek.];Krankheiten der Atemwege bei anderenorts klassifizierten Krankheiten
K00;Störungen der Zahnentwicklung und des Zahndurchbruchs
K01;Retinierte und impaktierte Zähne
K02;Zahnkaries
K03;Sonstige Krankheiten der Zahnhartsubstanzen
K04;Krankheiten der Pulpa und des periapikalen Gewebes
K05;Gingivitis und Krankheiten des Parodonts
K06;Sonst. Krankh. der Gingiva und des zahnlosen Alveolarkammes
K07;Dentofaziale Anomalien [einschl. fehlerhafter Okklusion]
K08;Sonstige Krankheiten der Zähne und des Zahnhalteapparates
K09;Zysten der Mundregion, anderenorts nicht klassifiziert
K10;Sonstige Krankheiten der Kiefer
K11;Krankheiten der Speicheldrüsen
K12;Stomatitis und verwandte Krankheiten
K13;Sonstige Krankheiten der Lippe und der Mundschleimhaut
K14;Krankheiten der Zunge
K20;Ösophagitis
K21;Gastroösophageale Refluxkrankheit
K22;Sonstige Krankheiten des Ösophagus
K23;Krankheiten des Ösophagus [sek.];Krankheiten des Ösophagus bei anderenorts klassifizierten Krankheiten
K25;Ulcus ventriculi
K26;Ulcus duodeni
K27;Ulcus pepticum, Lokalisation nicht näher bezeichnet
K28;Ulcus pepticum jejuni
K29;Gastritis und Duodenitis
K30;Funktionelle Dyspepsie
K31;Sonstige Krankheiten des Magens und des Duodenums
K35;Akute Appendizitis
K36;Sonstige Appendizitis
K37;Nicht näher bezeichnete Appendizitis
K38;Sonstige Krankheiten der Appendix
K40;Hernia inguinalis
K41;Hernia femoralis
K42;Hernia umbilicalis
K43;Hernia ventralis
K44;Hernia diaphragmatica
K45;Sonstige abdominale Hernien
K46;Nicht näher bezeichnete abdominale Hernie
K50;Crohn-Krankheit [Enteritis regionalis] [Morbus Crohn]
K51;Colitis ulcerosa
K52;Sonstige nichtinfektiöse Gastroenteritis und Kolitis
K55;Gefäßkrankheiten des Darmes
K56;Paralytischer Ileus & intestinale Obstruktion ohne Hernie;Paralytischer Ileus und intestinale Obstruktion ohne Hernie
K57;Divertikulose des Darmes
K58;Reizdarmsyndrom
K59;Sonstige funktionelle Darmstörungen
K60;Fissur und Fistel in der Anal- und Rektalregion
K61;Abszess in der Anal- und Rektalregion
K62;Sonstige Krankheiten des Anus und des Rektums
K63;Sonstige Krankheiten des Darmes
K64;Hämorrhoiden und Perianalvenenthrombose
K65;Peritonitis
K66;Sonstige Krankheiten des Peritoneums
K67;Krankheiten des Peritoneums bei […] Infektionskr.;Krankheiten des Peritoneums bei anderenorts klassifizierten Infektionskrankheiten
K70;Alkoholische Leberkrankheit
K71;Toxische Leberkrankheit
K72;Leberversagen, anderenorts nicht klassifiziert
K73;Chronische Hepatitis, anderenorts nicht klassifiziert
K74;Fibrose und Zirrhose der Leber
K75;Sonstige entzündliche Leberkrankheiten
K76;Sonstige Krankheiten der Leber
K77;Leberkrankheiten bei anderenorts klassifizierten Krankh.;Leberkrankheiten bei anderenorts klassifizierten Krankheiten
K80;Cholelithiasis
K81;Cholezystitis
K82;Sonstige Krankheiten der Gallenblase
K83;Sonstige Krankheiten der Gallenwege
K85;Akute Pankreatitis
K86;Sonstige Krankheiten des Pankreas
K87;Sek. Krankh. der Gallenblase, der Gallenwege & des Pankreas;Krankheiten der Gallenblase, der Gallenwege und des Pankreas bei anderenorts klassifizierten Krankheiten 
K90;Intestinale Malabsorption
K91;Krankheiten des Verdauungssystems iatrogen […];Krankheiten des Verdauungssystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
K92;Sonstige Krankheiten des Verdauungssystems
K93;Krankheiten sonstiger Verdauungsorgane [sek.];Krankheiten sonstiger Verdauungsorgane bei anderenorts klassifizierten Krankheiten
L00;Staphylococcal scalded skin syndrome [SSS-Syndrom]
L01;Impetigo
L02;Hautabszess, Furunkel und Karbunkel
L03;Phlegmone
L04;Akute Lymphadenitis
L05;Pilonidalzyste
L08;Sonstige lokale Infektionen der Haut und der Unterhaut
L10;Pemphiguskrankheiten
L11;Sonstige akantholytische Dermatosen
L12;Pemphigoidkrankheiten
L13;Sonstige bullöse Dermatosen
L14;Bullöse Dermatosen [sek.];Bullöse Dermatosen bei anderenorts klassifizierten Krankheiten
L20;Atopisches [endogenes] Ekzem
L21;Seborrhoisches Ekzem
L22;Windeldermatitis
L23;Allergische Kontaktdermatitis
L24;Toxische Kontaktdermatitis
L25;Nicht näher bezeichnete Kontaktdermatitis
L26;Exfoliative Dermatitis
L27;Dermatit. durch oral/enteral oder parenteral aufgen. Subst.;Dermatitis durch oral, enteral oder parenteral aufgenommene Substanzen
L28;Lichen simplex chronicus und Prurigo
L29;Pruritus
L30;Sonstige Dermatitis
L40;Psoriasis
L41;Parapsoriasis
L42;Pityriasis rosea
L43;Lichen ruber planus
L44;Sonstige papulosquamöse Hautkrankheiten
L45;Papulosquamöse Hautkrankheiten [sek.];Papulosquamöse Hautkrankheiten bei anderenorts klassifizierten Krankheiten
L50;Urtikaria
L51;Erythema exsudativum multiforme
L52;Erythema nodosum
L53;Sonstige erythematöse Krankheiten
L54;Erythem bei anderenorts klassifizierten Krankheiten
L55;Dermatitis solaris acuta
L56;Sonst. akute Hautveränderungen durch Ultraviolettstrahlen;Sonstige akute Hautveränderungen durch Ultraviolettstrahlen
L57;Hautveränd. durch chron. Expos. ggü. nichtion. Strahlung;Hautveränderungen durch chronische Exposition gegenüber nichtionisierender Strahlung
L58;Radiodermatitis
L59;Sonst. Krankh. der Haut & der Subkutis durch Strahleneinw.;Sonstige Krankheiten der Haut und der Unterhaut durch Strahleneinwirkung
L60;Krankheiten der Nägel
L62;Krankheiten der Nägel [sek.];Krankheiten der Nägel bei anderenorts klassifizierten Krankheiten
L63;Alopecia areata
L64;Alopecia androgenetica
L65;Sonstiger Haarausfall ohne Narbenbildung
L66;Narbige Alopezie [Haarausfall mit Narbenbildung]
L67;Anomalien der Haarfarbe und des Haarschaftes
L68;Hypertrichose
L70;Akne
L71;Rosazea
L72;Follikuläre Zysten der Haut und der Unterhaut
L73;Sonstige Krankheiten der Haarfollikel
L74;Krankheiten der ekkrinen Schweißdrüsen
L75;Krankheiten der apokrinen Schweißdrüsen
L80;Vitiligo
L81;Sonstige Störungen der Hautpigmentierung
L82;Seborrhoische Keratose
L83;Acanthosis nigricans
L84;Hühneraugen und Horn- (Haut-) Schwielen
